"","name_data","year_data","runtime_data","certificate_data","genre_data","votes_data","gross_data","star_data"
"1","Moonlight",2016,111,"R","Drama",182980,27.85,7.5
"2","Spotlight",2015,128,"R","Crime, Drama, History",309186,45.06,8.1
"3","Birdman or (The Unexpected Virtue of Ignorance)",2014,119,"R","Comedy, Drama",471702,42.34,7.8
"4","12 Years a Slave",2013,134,"R","Biography, Drama, History",522859,56.67,8.1
"5","Argo",2012,120,"R","Biography, Drama, Thriller",503350,136.03,7.7
"6","The Artist",2011,100,"PG-13","Comedy, Drama, Romance",206866,44.67,7.9
"7","The King's Speech",2010,118,"R","Biography, Drama",556953,138.8,8
"8","The Hurt Locker",2008,131,"R","Drama, History, Thriller",368028,17.02,7.6
"9","Slumdog Millionaire",2008,120,"R","Drama, Romance",704126,141.32,8
"10","No Country for Old Men",2007,122,"R","Crime, Drama, Thriller",700030,74.28,8.1
"11","The Departed",2006,151,"R","Crime, Drama, Thriller",987986,132.38,8.5
"12","Million Dollar Baby",2004,132,"PG-13","Drama, Sport",543287,100.49,8.1
"13","Crash",2004,112,"R","Crime, Drama, Thriller",384923,54.58,7.8
"14","The Lord of the Rings: The Return of the King",2003,201,"PG-13","Adventure, Drama, Fantasy",1368318,377.85,8.9
"15","Chicago",2002,113,"PG-13","Comedy, Crime, Musical",189289,170.69,7.2
"16","A Beautiful Mind",2001,135,"PG-13","Biography, Drama",703894,170.74,8.2
"17","Gladiator",2000,155,"R","Action, Adventure, Drama",1110640,187.71,8.5
"18","American Beauty",1999,122,"R","Drama",922835,130.1,8.4
"19","Shakespeare in Love",1998,123,"R","Comedy, Drama, History",190856,100.32,7.2
"20","Titanic",1997,194,"PG-13","Drama, Romance",882786,659.33,7.8
"21","The English Patient",1996,162,"R","Drama, Romance, War",156164,78.65,7.4
"22","Braveheart",1995,178,"R","Biography, Drama, History",828819,75.6,8.4
"23","Forrest Gump",1994,142,"PG-13","Drama, Romance",1449171,330.25,8.8
"24","Schindler's List",1993,195,"R","Biography, Drama, History",986433,96.07,8.9
"25","Unforgiven",1992,130,"R","Drama, Western",312450,101.16,8.2
"26","The Silence of the Lambs",1991,118,"R","Crime, Drama, Thriller",1021808,130.74,8.6
"27","Dances with Wolves",1990,181,"PG-13","Adventure, Drama, Western",205950,184.21,8
"28","Driving Miss Daisy",1989,99,"PG","Drama",81916,106.59,7.4
"29","Rain Man",1988,133,"R","Drama",416795,172.83,8
"30","The Last Emperor",1987,163,"PG-13","Biography, Drama, History",78504,43.98,7.8
"31","Platoon",1986,120,"R","Drama, War",325240,138.53,8.1
"32","Out of Africa",1985,161,"PG","Biography, Drama, Romance",59210,87.1,7.2
"33","Amadeus",1984,160,"R","Biography, Drama, History",307687,51.97,8.3
"34","Terms of Endearment",1983,132,"PG","Comedy, Drama",45405,108.42,7.4
"35","Gandhi",1982,191,"PG","Biography, Drama, History",191999,52.77,8.1
"36","Chariots of Fire",1981,125,"PG","Biography, Drama, Sport",45554,58.97,7.2
"37","Ordinary People",1980,124,"R","Drama",39093,54.8,7.8
"38","Kramer vs. Kramer",1979,105,"PG","Drama",109211,106.26,7.8
"39","The Deer Hunter",1978,183,"R","Drama, War",261251,48.98,8.2
"40","Annie Hall",1977,93,"PG","Comedy, Romance",220280,39.2,8.1
"41","Rocky",1976,120,"PG","Drama, Sport",431105,117.24,8.1
"42","One Flew Over the Cuckoo's Nest",1975,133,"R","Drama",763745,112,8.7
"43","The Godfather: Part II",1974,202,"R","Crime, Drama",904268,57.3,9
"44","The Sting",1973,129,"PG","Comedy, Crime, Drama",198859,159.6,8.3
"45","The Godfather",1972,175,"R","Crime, Drama",1309938,134.97,9.2
"46","The French Connection",1971,104,"R","Action, Crime, Drama",92236,NA,7.8
"47","Patton",1970,172,"GP","Biography, Drama, War",83403,61.7,8
"48","Midnight Cowboy",1969,113,"R","Drama",84195,44.79,7.9
"49","Oliver!",1968,153,"G","Drama, Family, Musical",28840,16.8,7.5
"50","In the Heat of the Night",1967,109,"Not Rated","Crime, Drama, Mystery",55917,24.38,8
"51","A Man for All Seasons",1966,120,"G","Biography, Drama, History",26000,28.35,7.9
"52","The Sound of Music",1965,174,"G","Biography, Drama, Family",166775,163.21,8
"53","My Fair Lady",1964,170,"G","Drama, Family, Musical",74356,72,7.9
"54","Tom Jones",1963,128,"Not Rated","Adventure, Comedy, History",9386,37.6,6.7
"55","Lawrence of Arabia",1962,216,"PG","Adventure, Biography, Drama",218850,44.82,8.3
"56","West Side Story",1961,153,"Not Rated","Crime, Drama, Musical",80598,43.66,7.6
"57","The Apartment",1960,125,"Not Rated","Comedy, Drama, Romance",126514,18.6,8.3
"58","Ben-Hur",1959,212,"G","Adventure, Drama, History",183323,74.7,8.1
"59","Gigi",1958,115,"G","Comedy, Musical, Romance",16452,NA,6.8
